线路ID,轨迹点记录时间,经度,纬度,活动类型,地区,瞬时速度(m/s)
328,2022/9/18 11:34,114.241546,30.5068955,步行,武汉汉阳区,6.488785
329,2022/9/18 11:34,114.2414599,30.5067771,步行,武汉汉阳区,9.141447
330,2022/9/18 11:34,114.2413725,30.5066293,步行,武汉汉阳区,5.518837
331,2022/9/18 11:34,114.2412835,30.5064854,步行,武汉汉阳区,6.2455845
332,2022/9/18 11:34,114.2411728,30.5063359,步行,武汉汉阳区,8.59662
333,2022/9/18 11:34,114.2410378,30.5061947,步行,武汉汉阳区,10.311068
334,2022/9/18 11:34,114.2408719,30.5060587,步行,武汉汉阳区,11.551234
335,2022/9/18 11:34,114.2406561,30.5059135,步行,武汉汉阳区,12.1164875
336,2022/9/18 11:34,114.2404311,30.5057776,步行,武汉汉阳区,12.115448
337,2022/9/18 11:34,114.2402154,30.5056497,步行,武汉汉阳区,11.57965
338,2022/9/18 11:34,114.2400051,30.5055197,步行,武汉汉阳区,12.077552
339,2022/9/18 11:34,114.2397963,30.5053823,步行,武汉汉阳区,12.746757
340,2022/9/18 11:34,114.2395817,30.5052408,步行,武汉汉阳区,12.85404
341,2022/9/18 11:34,114.2393532,30.5051064,步行,武汉汉阳区,13.1640415
342,2022/9/18 11:34,114.2391022,30.5049873,步行,武汉汉阳区,13.3820095
343,2022/9/18 11:35,114.2388297,30.5048857,步行,武汉汉阳区,13.805502
344,2022/9/18 11:35,114.2385556,30.5047861,步行,武汉汉阳区,14.195183
345,2022/9/18 11:35,114.2383018,30.5046695,步行,武汉汉阳区,14.313172
346,2022/9/18 11:35,114.2380718,30.5045186,步行,武汉汉阳区,14.405699
347,2022/9/18 11:35,114.2378528,30.504332,步行,武汉汉阳区,14.874778
348,2022/9/18 11:35,114.2376581,30.5041058,步行,武汉汉阳区,14.79449
349,2022/9/18 11:35,114.2374815,30.5038862,步行,武汉汉阳区,13.58063
350,2022/9/18 11:35,114.2373252,30.503683,步行,武汉汉阳区,12.716312
351,2022/9/18 11:35,114.2371851,30.5034892,步行,武汉汉阳区,12.367473
352,2022/9/18 11:35,114.2370483,30.5032995,步行,武汉汉阳区,12.260966
353,2022/9/18 11:35,114.2369219,30.5031095,步行,武汉汉阳区,12.123433
354,2022/9/18 11:35,114.2367968,30.5029235,步行,武汉汉阳区,11.929472
355,2022/9/18 11:35,114.2366659,30.502744,步行,武汉汉阳区,12.046343
356,2022/9/18 11:35,114.2365287,30.5025626,步行,武汉汉阳区,12.07708
357,2022/9/18 11:35,114.2363767,30.5023834,步行,武汉汉阳区,12.02145
358,2022/9/18 11:35,114.2362053,30.5022175,步行,武汉汉阳区,11.258498
359,2022/9/18 11:35,114.2360481,30.5020972,步行,武汉汉阳区,7.1017327
360,2022/9/18 11:35,114.235947,30.5020162,步行,武汉汉阳区,3.8119028
361,2022/9/18 11:35,114.2358236,30.5019284,步行,武汉汉阳区,5.0320244
362,2022/9/18 11:35,114.2356904,30.5018481,步行,武汉汉阳区,2.6182735
363,2022/9/18 11:35,114.235579,30.5018042,步行,武汉汉阳区,0.44246536
364,2022/9/18 11:35,114.2354578,30.5017863,步行,武汉汉阳区,2.075992
365,2022/9/18 11:35,114.2354337,30.5018816,步行,武汉汉阳区,2.8452122
366,2022/9/18 11:35,114.235498,30.5020023,步行,武汉汉阳区,3.212648
367,2022/9/18 11:35,114.2355994,30.5021192,步行,武汉汉阳区,3.0818834
368,2022/9/18 11:35,114.235765,30.5022842,步行,武汉汉阳区,9.632251
369,2022/9/18 11:36,114.2359327,30.5024432,步行,武汉汉阳区,11.60003
370,2022/9/18 11:36,114.2361154,30.5026136,步行,武汉汉阳区,13.3647375
371,2022/9/18 11:36,114.2362917,30.5028204,步行,武汉汉阳区,14.809268
372,2022/9/18 11:36,114.2364596,30.5030505,步行,武汉汉阳区,15.099811
373,2022/9/18 11:36,114.2366243,30.5032911,步行,武汉汉阳区,15.436992
374,2022/9/18 11:36,114.236798,30.5035304,步行,武汉汉阳区,15.623578
